id,name,gender,type,category_id,category_name
sr:competition:620,Hopman Cup,mixed,mixed,sr:category:181,Hopman Cup
sr:competition:660,World Team Cup,men,mixed,sr:category:3,ATP
sr:competition:990,ATP Challenger Tour Finals,men,singles,sr:category:72,Challenger
sr:competition:1207,Championship International Series,women,singles,sr:category:6,WTA
sr:competition:2100,Davis Cup,men,mixed,sr:category:76,Davis Cup
sr:competition:2102,Billie Jean King Cup,women,mixed,sr:category:74,Billie Jean King Cup
sr:competition:2555,Wimbledon Men Singles,men,singles,sr:category:3,ATP
sr:competition:2557,Wimbledon Men Doubles,men,doubles,sr:category:3,ATP
sr:competition:2559,Wimbledon Women Singles,women,singles,sr:category:6,WTA
sr:competition:2561,Wimbledon Women Doubles,women,doubles,sr:category:6,WTA
sr:competition:2563,Wimbledon Mixed Doubles,mixed,mixed_doubles,sr:category:3,ATP
sr:competition:2567,Australian Open Men Singles,men,singles,sr:category:3,ATP
sr:competition:2569,Australian Open Men Doubles,men,doubles,sr:category:3,ATP
sr:competition:2571,Australian Open Women Singles,women,singles,sr:category:6,WTA
sr:competition:2573,Australian Open Women Doubles,women,doubles,sr:category:6,WTA
sr:competition:2575,Australian Open Mixed Doubles,mixed,mixed_doubles,sr:category:3,ATP
sr:competition:2579,French Open Men Singles,men,singles,sr:category:3,ATP
sr:competition:2581,French Open Men Doubles,men,doubles,sr:category:3,ATP
sr:competition:2583,French Open Women Singles,women,singles,sr:category:6,WTA
sr:competition:2585,French Open Women Doubles,women,doubles,sr:category:6,WTA
sr:competition:2587,French Open Mixed Doubles,mixed,mixed_doubles,sr:category:3,ATP
sr:competition:2591,US Open Men Singles,men,singles,sr:category:3,ATP
sr:competition:2593,US Open Men Doubles,men,doubles,sr:category:3,ATP
sr:competition:2595,US Open Women Singles,women,singles,sr:category:6,WTA
sr:competition:2597,US Open Women Doubles,women,doubles,sr:category:6,WTA
sr:competition:2599,US Open Mixed Doubles,mixed,mixed_doubles,sr:category:3,ATP
sr:competition:2603,"ATP Doha, Qatar Men Singles",men,singles,sr:category:3,ATP
sr:competition:2605,"ATP Doha, Qatar Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:2613,"ATP Basel, Switzerland Men Singles",men,singles,sr:category:3,ATP
sr:competition:2615,"ATP Basel, Switzerland Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:2619,"ATP Brisbane, Australia Men Singles",men,singles,sr:category:3,ATP
sr:competition:2621,"ATP Brisbane, Australia Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:2625,"ATP Chennai, India Men Singles",men,singles,sr:category:3,ATP
sr:competition:2627,"ATP Chennai, India Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:2631,"ATP Auckland, New Zealand Men Singles",men,singles,sr:category:3,ATP
sr:competition:2633,"ATP Auckland, New Zealand Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:2637,"ATP Sydney, Australia Men Singles",men,singles,sr:category:3,ATP
sr:competition:2639,"ATP Sydney, Australia Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:2649,"ATP Zagreb, Croatia Men Singles",men,singles,sr:category:3,ATP
sr:competition:2651,"ATP Zagreb, Croatia Men Double",men,doubles,sr:category:3,ATP
sr:competition:2661,"ATP Paris, France Men Singles",men,singles,sr:category:3,ATP
sr:competition:2663,"ATP Paris, France Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:2667,"ATP Dubai, UAE Men Singles",men,singles,sr:category:3,ATP
sr:competition:2669,"ATP Dubai, UAE Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:2673,"WTA Pattaya City, Thailand Women Singles",women,singles,sr:category:6,WTA
sr:competition:2675,"WTA Pattaya City, Thailand Women Doubles",women,doubles,sr:category:6,WTA
sr:competition:2679,"ATP Rotterdam, Netherlands Men Singles",men,singles,sr:category:3,ATP
sr:competition:2681,"ATP Rotterdam, Netherlands Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:2697,"ATP Memphis, USA Men Singles",men,singles,sr:category:3,ATP
sr:competition:2699,"ATP Memphis, USA Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:2703,"WTA Bogota, Colombia Women Singles",women,singles,sr:category:6,WTA
sr:competition:2705,"WTA Bogota, Colombia Women Doubles",women,doubles,sr:category:6,WTA
sr:competition:2709,"ATP Acapulco, Mexico Men Singles",men,singles,sr:category:3,ATP
sr:competition:2711,"ATP Acapulco, Mexico Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:2715,"WTA Monterrey, Mexico Women Singles",women,singles,sr:category:6,WTA
sr:competition:2717,"WTA Monterrey, Mexico Women Doubles",women,doubles,sr:category:6,WTA
sr:competition:2721,"ATP Marseille, France Men Singles",men,singles,sr:category:3,ATP
sr:competition:2723,"ATP Marseille, France Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:2727,"ATP Buenos Aires, Argentina Men Singles",men,singles,sr:category:3,ATP
sr:competition:2729,"ATP Buenos Aires, Argentina Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:2733,"ATP Delray Beach, USA Men Singles",men,singles,sr:category:3,ATP
sr:competition:2735,"ATP Delray Beach, USA Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:2739,"ATP Indian Wells, USA Men Singles",men,singles,sr:category:3,ATP
sr:competition:2741,"ATP Indian Wells, USA Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:2745,"ATP Miami, USA Men Singles",men,singles,sr:category:3,ATP
sr:competition:2747,"ATP Miami, USA Men Doubles",men,doubles,sr:category:3,ATP
sr:competition:2751,"ATP Houston, USA Men Singles",men,singles,sr:category:3,ATP
sr:competition:2753,"ATP Houston, USA Men Doubles",men,doubles,sr:category:3,ATP
